Word,Pron,Definition,Example,Translation_PL,Example_PL
healthy,ˈhelθi,good for your body,The children are given fruit as a healthy mid-morning snack.,zdrowy,Dzieci otrzymują owoce jako zdrową poranną przekąskę.
grilled,ɡrɪld,"if something has been grilled, it has been cooked by putting it on a flat metal frame with bars across it, above or below strong direct heat ",We ate on the beach: grilled swordfish fresh from the sea.,Grilla,Jedliśmy na plaż y: grillowanego miecznika prosto z morza.
homemade,ˌhəʊmˈmeɪd,made at home and not bought from a shop,All her jam is homemade.,domowej roboty,Cały jej dżem jest domowej roboty.
bitter,ˈbɪtə,"having a strong sharp taste, like black coffee without sugar ",Bitter oranges are good for making marmalade.,gorzki,Gorzkie pomarańcze są dobre do robienia marmolady.
light,laɪt,"food or drink that is light either does not have a strong taste or does not make you feel full very quickly, for example because it does not contain very much fat, sugar or alcohol",I had a light lunch in town.,światło,Zjadłem lekki lunch w mieście.
grate,ɡreɪt,"to rub (cheese, vegetables, etc.) against a rough or sharp surface in order to break them into small pieces",Peel and grate the potatoes.,ruszt,Ziemniaki obrać i zetrzeć na tarce.
fry,fraɪ,"to cook (something) in hot fat or oil, or to be cooked in hot fat or oil",I could smell onions frying.,smażyć,Czułem zapach smażonej cebuli.
boil,bɔɪl,"to cook (something) in boiling water, or to be cooked in boiling water",Boil the rice for 15 minutes.,czyrak,Gotuj ryż przez 15 minut.
bake,beɪk,"to cook (something) using dry heat, in an oven, or to be cooked in this way",I'm baking some bread.,piec,Piekę chleb.
chop,tʃɒp,to cut (something) into smaller pieces,Can you chop up some carrots for me?,rąbać,Czy możesz posiekać dla mnie marchewki?
grill,ɡrɪl,"if you grill something, or if it grills, you cook it by putting it on a flat metal frame with bars across it, above or below strong direct heat",Grill the bacon until crisp.,grill,"Grilluj boczek, aż będzie chrupiący."
peel,piːl,to remove the skin from (fruit or vegetables),Peel the apples and place them in a dish with some butter and sugar.,obrać,Jabłka obrać i ułożyć w naczyniu z odrobiną masła i cukru.
stir,stɜː,to move (a liquid or substance) around with a spoon or stick in order to mix it together,Stir a cup of cooked brown rice into the mixture.,mieszać,Wymieszaj filiżankę ugotowanego brązowego ryżu z mieszanką.
pour,pɔː,to make (a liquid or other substance) flow out of or into a container by holding it at an angle,She poured coffee for everyone.,lać,Nalała kawę dla wszystkich.
roast,rəʊst,"to cook (something, such as meat) in an oven or over a fire, or to be cooked in this way", Are you going to roast the chicken?,piec, Zamierzasz upiec kurczaka?
charge,tʃɑːdʒ,"if a battery charges, or if you charge it, it takes in and stores electricity",I forgot to charge my mobile phone.,naładować,Zapomniałem naładować telefon komórkowy.
empty,ˈempti,to remove everything that is inside (something),Did you empty the washing machine and hang out the clothes?,pusty,Czy opróżniłeś pralkę i rozwiesiłeś ubrania?
fill something with …,ˈfɪl ˌsʌmθɪŋ wɪð ,"if a container or place fills, or if you fill it, enough of something goes into it to make it full","First, fill the kettle with cold water.",wypełnij coś ...,Najpierw napełnij czajnik zimną wodą.
load,ləʊd,to put a large quantity of something into a vehicle or container,Will you help me load the dishwasher?,ładunek,Pomożesz mi załadować zmywarkę?
unload,ʌnˈləʊd,to remove a large quantity of something from a vehicle or container,We helped them unload the boxes from the car.,wyładować,Pomogliśmy im rozładować pudła z samochodu.
switch on,ˌswɪtʃ ˈɒn,"to turn on (a machine, light, radio, etc.), or to be turned on, using a switch",The light switches on automatically when it gets dark.,włączyć,"Światło włącza się automatycznie, gdy robi się ciemno."
switch off,ˌswɪtʃ ˈɒf,"to turn off (a machine, light, radio, etc.), or to be turned off, using a switch",Don’t forget to switch off the lights before you go.,wyłączyć,Nie zapomnij wyłączyć świateł przed wyjściem.
turn down,ˌtɜːn ˈdaʊn,"to turn the switch on (a machine such as an oven, radio, etc.) so that it produces less heat, sound, etc.",Can you turn the TV down? I’m trying to work.,odrzucać,Czy możesz ściszyć telewizor? Staram się pracować.
turn up,ˌtɜːˈn ˈʌp,"to turn a switch on (a machine such as an oven, radio, etc.) so that it produces more heat, sound, etc.",It's getting colder. Shall we turn the heating up?,Zjawić się,Robi się coraz zimniej. Podkręcimy ogrzewanie?
cheat,tʃiːt,"to behave in a dishonest way in order to win or to get an advantage, especially in a competition, game or examination",He had cheated in the test by using a calculator.,oszukać,"Oszukiwał w teście, korzystając z kalkulatora."
fair,ˈfeə,treating everyone in a way that is right or equal,Why does Eric get to go and I don’t? It’s not fair!,sprawiedliwy,"Dlaczego Eric może odejść, a ja nie? To niesprawiedliwe!"
jump the queue,ˌdʒʌmp ðə ˈkjuː,to go to the front rather than joining the end of a queue,An argument developed when she tried to jump the queue.,Omiń kolejkę,"Do kłótni doszło, gdy próbowała przeskoczyć kolejkę."
rude,ruːd,speaking or behaving in a way that is not polite and is likely to offend or annoy people,It’s rude to interrupt.,niegrzeczny,Niegrzecznie jest przerywać.
polite,pəˈlaɪt,"behaving or speaking in a way that is correct for the social situation you are in, and showing that you are careful to consider other people’s needs and feelings",He was too polite to ask how old she was.,grzeczny,"Był zbyt uprzejmy, by zapytać, ile ma lat."
steal,stiːl,to take (something that belongs to someone else),Boys broke into a shop and stole £45 in cash.,kraść,Chłopcy włamali się do sklepu i ukradli 45 funtów w gotówce.
illegal,ɪˈliːɡl,not allowed by the law,She was found guilty of possession of illegal drugs.,bezprawny,Została uznana za winną posiadania narkotyków.
wrong,rɒŋ,not morally right or acceptable,It’s wrong that people should have to sleep on the streets.,błędny,"To źle, że ludzie muszą spać na ulicach."
drop litter,ˌdrɒp ˈlɪtə,"to throw away waste paper, cans, etc. and leave them on the ground in a public place",People who drop litter can be fined in some cities.,Upuszczanie śmieci,"W niektórych miastach osoby, które wyrzucają śmieci, mogą zostać ukarane grzywną."
speed,spiːd,to be driving faster than the legal limit,I got caught speeding on the A40 yesterday.,szybkość,Wczoraj zostałem złapany na przekroczeniu prędkości na A40.
be against the law,bi əˌɡenst ðə ˈlɔː,to be forbidden by law,Driving a car without insurance is against the law.,być niezgodne z prawem,Prowadzenie samochodu bez ubezpieczenia jest niezgodne z prawem.
lie,laɪ,to deliberately tell someone something that is not true,She had lied to protect her son.,kłamstwo,"Skłamała, by chronić swojego syna."
dishonest,dɪˈsɒnɪst,"not honest, and so deceiving or cheating people",People are no longer surprised to find that politicians are dishonest.,nieuczciwy,"Ludzie nie są już zaskoczeni, gdy odkrywają, że politycy są nieuczciwi."
criminal,ˈkrɪmɪnl,someone who is involved in illegal activities or has been proved guilty of a crime,Criminals are stealing people's credit card details off the internet.,kryminalny,Przestępcy kradną dane kart kredytowych ludzi z Internetu.
judge,dʒʌdʒ,"the official in control of a court, who decides how criminals should be punished",The trial judge specifies the number of years to be spent in prison.,sędzia,Sędzia prowadzący rozprawę określa liczbę lat spędzonych w więzieniu.
motive,ˈməʊtɪv,"the reason that makes someone do something, especially when this reason is kept hidden",The main motive for the killings seemed to be revenge.,powód,Głównym motywem zabójstw wydawała się być zemsta.
prison,ˈprɪzn,"a building where people are kept as a punishment for a crime, or while they are waiting to go to court for their trial ",Helen was sent to prison for attacking a man with a knife.,więzienie,Helen trafiła do więzienia za zaatakowanie mężczyzny nożem.
suspect,ˈsʌspekt,someone who is thought to be guilty of a crime,Two suspects were arrested today in connection with the robbery.,podejrzany,Dwóch podejrzanych zostało dziś aresztowanych w związku z napadem.
thief,θiːf,someone who steals things from another person or place,The thief grabbed her handbag and ran off down the street.,złodziej,Złodziej chwycił jej torebkę i uciekł ulicą.
victim ,ˈvɪktɪm,"someone who has been attacked, robbed or murdered",The victim received head injuries from which she died a week later.,ofiara ,"Ofiara doznała obrażeń głowy, w wyniku których zmarła tydzień później."
witness,ˈwɪtnəs,someone who sees a crime or an accident and can describe what happened,One witness to the accident said the driver appeared to be drunk.,świadek,"Jeden ze świadków wypadku powiedział, że kierowca wyglądał na pijanego."
air pollution,ˈeə pəˌluːʃn,"damage caused to the gases that we breathe, for example by chemicals from factories and vehicles",Air pollution can cause breathing problems for some people.,zanieczyszczenie powietrza,Zanieczyszczenie powietrza może powodować problemy z oddychaniem u niektórych osób.
endangered animal,ɪnˌdeɪndʒəd ˈænəml,an endangered animal is one that may soon no longer exist because there are so few of them,The lizards are classed as endangered animals.,Zwierzę zagrożone wyginięciem,Jaszczurki są klasyfikowane jako zwierzęta zagrożone wyginięciem.
extreme weather,ɪkˌstriːm ˈweðə,"very unusual and severe temperature and other conditions such as sun, rain and wind",The search had to be abandoned because of the extreme weather.,Ekstremalne warunki pogodowe,Poszukiwania musiały zostać przerwane z powodu ekstremalnych warunków pogodowych.
global warming,ˌɡləʊbl ˈwɔːmɪŋ,a general increase in world temperatures caused by increased amounts of carbon dioxide around the Earth,The recent floods have been linked to global warming.,Globalne ocieplenie,Ostatnie powodzie zostały powiązane z globalnym ociepleniem.
plastic waste,ˌplæstɪk ˈweɪst,"unwanted plastic materials that are left after you have used them, e.g. drinks bottles",The device will be used to clear plastic waste from the world's oceans.,odpady z tworzyw sztucznych,Urządzenie będzie służyło do usuwania odpadów z tworzyw sztucznych z oceanów na całym świecie.
reduce,rɪˈdjuːs,"to make (something) smaller or less in size, amount or price",We need to reduce the amount of salt in our diet.,zmniejszyć,Musimy zmniejszyć ilość soli w naszej diecie.
destroy,dɪˈstrɔɪ,to damage (something) so badly that it no longer exists or cannot be used or repaired,Some of these companies are polluting and destroying the environment.,niszczyć,Niektóre z tych firm zanieczyszczają i niszczą środowisko.
waste,weɪst,"to use more (money, time, energy, etc.) than is useful or sensible",Leaving the heating on all the time wastes electricity.,marnować,Pozostawienie włączonego ogrzewania przez cały czas powoduje marnowanie energii elektrycznej.
save,seɪv,"to use less (money, time, energy, etc.) so that you do not waste any",We’ll save a lot of time if we go by car.,zapisać,"Zaoszczędzimy dużo czasu, jeśli pojedziemy samochodem."
throw away,ˌθrəʊ əˈweɪ,to get rid of (something that you do not want or need),I never throw clothes away.,wyrzucić,Nigdy nie wyrzucam ubrań.
recycle ,ˌriːˈsaɪkl,to put used objects or materials through a special process so that they can be used again,We send all our clothes to be recycled.,Recyklingu ,Wszystkie nasze ubrania wysyłamy do recyklingu.
reuse,ˌriːˈjuːz,to use (something) again,The bottles are designed to be reused up to 20 times.,ponowne wykorzystanie,"Butelki są zaprojektowane tak, aby można je było ponownie użyć do 20 razy."
damage,ˈdæmɪdʒ,to cause harm to or have a bad effect on (something or part of someone’s body),Several buildings were damaged by the earthquake.,szkoda,Kilka budynków zostało uszkodzonych w wyniku trzęsienia ziemi.
support,səˈpɔːt,"to give money to (a group, organisation, or event, etc.) to encourage it or pay for its costs",There are a handful of charities which I support regularly.,wsparcie,"Jest kilka organizacji charytatywnych, które regularnie wspieram."
injure,ˈɪndʒə,"to hurt (yourself or someone else), for example in an accident or an attack",Angus injured his leg playing rugby.,ranić,Angus doznał kontuzji nogi podczas gry w rugby.
attack ,əˈtæk,to deliberately use violence to hurt (a person) or damage (a place),Police dogs are trained to attack.,atak ,Psy policyjne są szkolone do atakowania.
protect,prəˈtekt,"to keep (someone or something) safe from harm, damage or illness",The cover protects the machine from dust.,chronić,Pokrowiec chroni maszynę przed kurzem.
kill,kɪl,to make (a person or animal) die,The driver and his passenger were killed in the crash.,zabić,W wypadku zginął kierowca i jego pasażer.
destruction,dɪˈstrʌkʃn,the act or process of damaging something so badly that it no longer exists or cannot be used or repaired,The rains caused widespread destruction to crops.,zniszczenie,Deszcze spowodowały rozległe zniszczenia w uprawach.
protection,prəˈtekʃn,"keeping someone or something safe from harm, damage or illness",This law provides protection for threatened animals and plants.,ochrona,Ustawa ta zapewnia ochronę zagrożonym zwierzętom i roślinom.
pollute,pəˈluːt,"to make (air, water, soil, etc.) dangerously dirty and not suitable for people to use",The island has been seriously polluted by a copper mine.,zanieczyszczać,Wyspa została poważnie zanieczyszczona przez kopalnię miedzi.
pollution,pəˈluːʃn,"damage caused to the environment, for example by chemicals from factories and vehicles",Oil spills are a major cause of marine pollution.,zanieczyszczenie,Wycieki ropy naftowej są główną przyczyną zanieczyszczenia mórz.
damage,ˈdæmɪdʒ,harm to something,Biofuels cause less damage to the environment.,szkoda,Biopaliwa powodują mniej szkód w środowisku.
waste,weɪst,unwanted materials or substances that are left after you have used something,How much of our household waste is recycled?,marnować,Ile naszych odpadów z gospodarstw domowych jest poddawanych recyklingowi?
injure,ˈɪndʒə,"to hurt (yourself or someone else), for example in an accident or attack",Her husband was injured in an accident at work.,ranić,Jej mąż został ranny w wypadku przy pracy.
lose,luːz,to become unable to find (someone or something),I’ve lost the tickets for tonight’s show.,zgubić,Zgubiłem bilety na dzisiejszy koncert.
miss,mɪs,to be too late for (something),I overslept and missed the train.,tęsknić,Zaspałem i spóźniłem się na pociąg.
take,teɪk,"to move (something) to another place, or help (someone) go to another place",Don’t forget to take your keys.,brać,Nie zapomnij zabrać kluczy.
bring,brɪŋ,"to take (something or someone) to the place where you are now, or the place where you are going",He asked his father if he could bring a friend to stay.,przynieść,"Zapytał ojca, czy mógłby przyprowadzić przyjaciela, aby został."
lend,lend,to let someone borrow (money or something that belongs to you) for a short time,Did you lend that book to Mike?,pożyczyć,Pożyczyłeś tę książkę Mike'owi?
borrow,ˈbɒrəʊ,to use (something that belongs to someone else and that you must give back to them later),Can I borrow your pen for a minute?,pożyczyć,Czy mogę pożyczyć od Pana/Pani długopis na minutę?
journey,ˈdʒɜːni,"an occasion when you travel from one place to another, especially over a long distance","We stopped for breakfast, then continued our journey.",podróż,"Zatrzymaliśmy się na śniadanie, a następnie ruszyliśmy w dalszą drogę."
travel,ˈtrævl,"the activity of going from one place to another, or to several places, especially ones that are far away",My new job involves a fair amount of travel.,podróż,Moja nowa praca wiąże się ze sporą ilością podróży.
at the moment,ət ðə ˈməʊmənt,now,Julia’s on holiday in Spain at the moment.,W tej chwili,Julia jest w tej chwili na wakacjach w Hiszpanii.
actually,"ˈæktʃuəli, -tʃəli","in fact; used to emphasise the real or exact truth of a situation, rather than what people may think",What time are you actually leaving?,rzeczywiście,O której właściwie wyjeżdżasz?
work on your language skills,ˌwɜːk ɒn jə ˈlæŋɡwɪdʒ ˌskɪlz,to try very hard to improve your ability to speak another lanɡuaɡe,"My new job involves a lot of travel, so I'm working on my language skills.",Pracuj nad swoimi umiejętnościami językowymi,"Moja nowa praca wiąże się z częstymi podróżami, więc pracuję nad swoimi umiejętnościami językowymi."
work on your singing,ˌwɜːk ɒn jə ˈsɪŋɪŋ,to try very hard to improve your ability to sing,"You're a good actor, but you need to work on your singing.",Pracuj nad swoim śpiewem,"Jesteś dobrym aktorem, ale musisz popracować nad swoim śpiewem."
gain confidence,ˌɡeɪn ˈkɒnfɪdns,to gradually get more and more sure that you have the ability to do things well or deal with situations successfully,As you gain confidence you will become a better driver.,Zyskaj pewność siebie,"Gdy nabierzesz pewności siebie, staniesz się lepszym kierowcą."
gain experience,ˌɡeɪn ɪkˈspɪəriəns,to gradually obtain knowledge or skill from doing a job or activity,Voluntary work is a good way of gaining experience.,Zdobywaj doświadczenie,Wolontariat to dobry sposób na zdobywanie doświadczenia.
improve your maths,ɪmˌpruːv jə ˈmæθs,to make your maths skills better,Practice is one of the best ways to improve your maths.,Popraw swoją matematykę,Praktyka to jeden z najlepszych sposobów na poprawę matematyki.
improve your speaking skills,ɪmˌpruːv jə ˈspiːkɪŋ ˌskɪlz,to make your ability to speak in public better,She has been attending drama classes to improve her speaking skills.,Popraw swoje umiejętności mówienia,"Uczęszcza na zajęcia teatralne, aby poprawić swoje umiejętności mówienia."
develop practical skills,ˌdɪveləp ˈpræktɪkl ˌskɪlz,"if you develop a practical skill, you become better at doing things relating to real situations and events rather than ideas, emotions, etc.",The course is designed to help mechanical engineers develop their practical skills.,rozwijanie umiejętności praktycznych,Kurs ma na celu pomóc inżynierom mechanikom w rozwijaniu ich umiejętności praktycznych.
develop your interview skills,ˌdɪveləp jər ˈɪntəvjuː ˌskɪlz,"if you develop your interview skills, you become better at answering questions about whether you are suitable for a job, course of study, etc.","Even if you don't get the job, it will be a good opportunity to develop your interview skills.",Rozwijaj swoje umiejętności prowadzenia rozmów kwalifikacyjnych,"Nawet jeśli nie dostaniesz pracy, będzie to dobra okazja do rozwinięcia swoich umiejętności prowadzenia rozmowy kwalifikacyjnej."
prepare delicious dishes,prɪˌpeə dɪˌlɪʃəs ˈdɪʃəz,to make excellent food,We learned to prepare delicious Vietnamese dishes.,Przygotuj pyszne potrawy,Nauczyliśmy się przygotowywać pyszne wietnamskie potrawy.
prepare for an interview,prɪˌpeə fər ən ˈɪntəvjuː,"to make yourself mentally or physically ready for a formal meeting at which you are asked questions in order to find out whether you are suitable for a job, course of study, etc.",Josh has been preparing for his army interview for months.,Przygotuj się do rozmowy kwalifikacyjnej,Josh od miesięcy przygotowywał się do rozmowy kwalifikacyjnej w wojsku.
edit photos,ˌedɪt ˈfəʊtəʊz,"to improve photographs by adding effects, removing material or making parts clearer",This software includes improved tools for editing photos.,Edytowanie zdjęć,To oprogramowanie zawiera ulepszone narzędzia do edycji zdjęć.
edit your work,ˌedɪt jə ˈwɜːk,to prepare a piece of written work by removing mistakes or parts that are not acceptable,Editing your work carefully could mean you receive a higher mark.,Edytowanie pracy,"Staranna edycja swojej pracy może oznaczać, że otrzymasz wyższą ocenę."
design a website,dɪˌzaɪn ə ˈwebsaɪt,to plan or develop a place on the internet where you can find information,Their website has been professionally designed.,Zaprojektuj stronę internetową,Ich strona internetowa została profesjonalnie zaprojektowana.
design your own clothes,"dɪˌzaɪn jər əʊn ˈkləʊðz, ˈkləʊz",to make a drawing or plan of something that you will wear yourself,Most fashion students have designed their own clothes at some time.,Zaprojektuj własne ubrania,Większość studentów mody od jakiegoś czasu projektowała własne ubrania.
learn how to change a plug,ˌlɜːn haʊ tə ˌtʃeɪndʒ ə ˈplʌɡ,to gain knowledge of the skill of changing the small object at the end of a wire that is used for connecting a piece of electrical equipment to the main supply of electricity,I learned to change a plug in a physics lesson when I was 12.,"Dowiedz się, jak wymienić wtyczkę","Nauczyłem się wymieniać wtyczkę na lekcji fizyki, gdy miałem 12 lat."
learn the drums,ˌlɜːn ðə ˈdrʌmz,to gain knowledge of how to play musical instruments made of skin stretched over a circular frame,Rick starting playing guitar but learnt the drums when the drummer left the band.,Naucz się gry na perkusji,"Rick zaczął grać na gitarze, ale nauczył się gry na perkusji, gdy perkusista opuścił zespół."
take photos,ˌteɪk ˈfəʊtəʊz,to use a camera to create images,We took photos of each other on the beach.,Rób zdjęcia,Robiliśmy sobie zdjęcia na plaży.
take a course,ˌteɪk ə ˈkɔːs,to do a series of lessons in a particular subject,I’m taking a course in graphic design.,Weź udział w kursie,Biorę udział w kursie projektowania graficznego.
get married,ɡet ˈmærid,"if you get married to someone, you become their husband or wife",The princess is getting married next April.,brać ślub,Księżniczka wychodzi za mąż w kwietniu przyszłego roku.
get engaged,ɡet ɪnˈɡeɪdʒd,"if two people get engaged, they agree to marry",They're planning to get engaged when they've finished their training.,Zaangażuj się,Planują zaręczyć się po zakończeniu szkolenia.
get divorced,ɡet dɪˈvɔːst,to end a marriage,My parents are getting divorced.,rozwieść się,Moi rodzice się rozwodzą.
have children,hæv ˈtʃɪldrən,to become a parent and have more than one baby,He stopped racing when he had children.,mieć dzieci,"Przestał się ścigać, gdy urodziły mu się dzieci."
move house,ˌmuːv ˈhaʊs,to go and live in a different place,We moved house four times in ten years because of Greg's job.,Przeprowadzka,W ciągu dziesięciu lat przeprowadzaliśmy się cztery razy z powodu pracy Grega.
graduate from university/college,ˌɡrædʒuːeɪt frəm ˌjuːnəˈvɜːsəti/ˈkɒlɪdʒ,"to obtain a degree, especially a first degree, from a college or university",He graduated in physics from Cambridge University.,Absolwent uniwersytetu/szkoły wyższej,Ukończył fizykę na Uniwersytecie Cambridge.
find your first job,ˌfaɪnd jə ˌfɜːst ˈdʒɒb,to arrange your first work position,Stella found her first job a week after leaving school.,Znajdź swoją pierwszą pracę,Stella znalazła swoją pierwszą pracę tydzień po ukończeniu szkoły.
get your first job,ˌɡet jə ˌfɜːst ˈdʒɒb,to be offered your first work position,Henry got his first job at an engineering company.,Zdobądź swoją pierwszą pracę,Henry dostał swoją pierwszą pracę w firmie inżynieryjnej.
lose your first job,ˌluːz jə ˌfɜːst ˈdʒɒb,to be asked to leave your first work position,"I lost my first job after three days – but it was very boring, so I didn't mind!",stracić pierwszą pracę,"Pierwszą pracę straciłam po trzech dniach – ale było to bardzo nudne, więc nie przeszkadzało mi to!"
pass a driving test,ˌpɑːs ə ˈdraɪvɪŋ test,to succeed in the test that you must pass before you are allowed to drive,I passed my driving test the second time I took it.,zdać egzamin na prawo jazdy,Zdałem egzamin na prawo jazdy za drugim razem.
pass an exam,ˌpɑːs ən ɪɡˈzæm,to succeed in an important test,Did you pass your final exam?,zdać egzamin,Czy zdałeś egzamin końcowy?
win an award,ˌwɪn ən əˈwɔːd,to be given a prize,Jacobs won an award for his life-changing invention.,Zdobądź nagrodę,"Jacobs zdobył nagrodę za swój wynalazek, który zmienił jego życie."
go travelling,ˌɡəʊ ˈtrævlɪŋ,"to travel to a lot of different places, especially places that are far away",Zak went travelling for two years after leaving university.,Idź w podróż,Zak po ukończeniu studiów przez dwa lata podróżował.
go abroad,ˌɡəʊ əˈbrɔːd,to travel to a foreign country,She often goes abroad on business.,Wyjedź za granicę,Często wyjeżdża za granicę w interesach.
start a business,ˌstɑːt ə ˈbɪznəs,"to set up an organisation such as a company, shop or factory that produces or sells goods or provides a service",The two brothers started a printing business.,Rozpocznij działalność gospodarczą,Dwaj bracia założyli drukarnię.
leave school,ˌliːv ˈskuːl,to permanently stop attending school,He left school when he was 14 to help his father run the farm.,opuścić szkołę,"W wieku 14 lat porzucił szkołę, aby pomóc ojcu w prowadzeniu gospodarstwa."
leave home,ˌliːv ˈhəʊm,to permanently stop living at home,How old were you when you left home?,Wyjdź z domu,"Ile miałeś lat, kiedy opuściłeś dom?"
fall in love,ˌfɔːl ɪn ˈlʌv,to start being in love,I fell in love with her the minute I saw her.,Zakochać się,"Zakochałem się w niej w chwili, gdy ją zobaczyłem."
backpack,ˈbækpæk,"a bag used for carrying things on your back, especially by people on long walks",I can carry everything I need for a day in the mountains in a small backpack.,plecak,"W małym plecaku mogę nosić wszystko, czego potrzebuję na dzień w górach."
camping stove,ˈkæmpɪŋ ˌstəʊv,"a small device used to cook food in a single pot outdoors, when camping, etc.",We've become quite good at inventing meals you can cook on a camping stove.,kuchenka kempingowa,"Staliśmy się całkiem dobrzy w wymyślaniu posiłków, które można ugotować na kuchence kempingowej."
insect repellent,ˈɪnsekt rɪˌpelənt,a chemical to keep insects away,"If you go camping, you should take some insect repellent.",Środek odstraszający owady,"Jeśli wybierasz się na kemping, powinieneś zabrać ze sobą środek odstraszający owady."
portable charger,ˌpɔːtəbl ˈtʃɑːdʒə,"a piece of equipment used to put electricity into a battery, which you can use when travelling",The portable charger meant I could still use my mobile phone after three days at sea.,przenośna ładowarka,"Przenośna ładowarka oznaczała, że po trzech dniach spędzonych na morzu nadal mogłem korzystać z telefonu komórkowego."
sleeping bag,ˈsliːpɪŋ bæɡ,"a large warm bag that you sleep in, especially when camping",Rob lent me a sleeping bag and let me sleep on his floor.,śpiwór,Rob pożyczył mi śpiwór i pozwolił spać na swojej podłodze.
sunglasses,ˈsʌnˌɡlɑːsɪz,dark glasses that you wear to protect your eyes when the sun is very bright ,Pilots are advised to wear sunglasses to prevent problems with their eyes later in life.,okulary przeciwsłoneczne,"Piloci powinni nosić okulary przeciwsłoneczne, aby zapobiec problemom z oczami w późniejszym życiu."
sunscreen ,ˈsʌnskriːn,a cream or oil that you rub into your skin to stop the sun from burning you ,It's important to protect your child's skin with sunscreen.,Ochrony przeciwsłonecznej ,"Ważne jest, aby chronić skórę dziecka za pomocą kremów przeciwsłonecznych."
tent,tent,"a shelter consisting of a sheet of cloth supported by poles and ropes, used especially for camping",We put our tent up by the river.,namiot,Rozbiliśmy namiot nad rzeką.
torch,tɔːtʃ,a small electric lamp that you carry in your hand,We shone our torches around the cave.,pochodnia,Świeciliśmy pochodniami wokół jaskini.
walking boots,ˈwɔːkɪŋ buːts,shoes that cover your whole foot and the lower part of your leg,In the mountains you’ll need some strong walking boots.,Trekkingowe,W górach przydadzą Ci się mocne buty do chodzenia.
waterproof jacket,ˌwɔːtəpruːf ˈdʒækɪt,a short light coat that does not allow water to enter,Please provide your child with a packed lunch and a waterproof jacket for the trip.,wodoodporna kurtka,Prosimy o zapewnienie dziecku suchego prowiantu i nieprzemakalnej kurtki na czas podróży.
headphones,ˈhedfəʊnz,"a piece of equipment that you wear over your ears to listen to the radio, music, etc. without other people hearing it",He didn't hear the bus driver's instructions because he was wearing headphones.,słuchawki,"Nie słyszał poleceń kierowcy autobusu, ponieważ miał na uszach słuchawki."
passport,ˈpɑːspɔːt,"a small official document that you get from your government, that proves who you are, and which you need in order to leave your country and enter other countries",She was born in India but has a British passport.,paszport,"Urodziła się w Indiach, ale ma brytyjski paszport."
tennis racket,ˈtenɪs ˌrækɪt,a specially shaped piece of wood or metal that you use for hitting the ball in tennis,Most professional players will use at least six tennis rackets in a match.,rakieta tenisowa,Większość profesjonalnych graczy używa co najmniej sześciu rakiet tenisowych w meczu.
swimsuit,ˈswɪmsuːt,a piece of clothing worn for swimming,"Bring a swimsuit, because we're planning to swim in the river before the picnic.",kostium kąpielowy,"Weźcie ze sobą strój kąpielowy, bo przed piknikiem planujemy popływać w rzece."
can opener,ˈkæn ˌəʊpnə,a tool for opening a can of food,My pocket knife has a good can opener.,otwieracz do konserw,Mój scyzoryk ma dobry otwieracz do puszek.
basketball,ˈbɑːskɪtbɔːl,"the ball used in a game played indoors between two teams of five players, in which each team tries to win points by throwing a ball through a net",The whole team wrote their names on Joe's basketball.,koszykówka,Cała drużyna napisała swoje imiona na koszykówce Joe.
running shoes,ˈrʌnɪŋ ʃuːz,light sports shoes that are designed for the sport of running,Get yourself a good pair of running shoes if you want to enter the race.,buty do biegania,"Zaopatrz się w dobrą parę butów do biegania, jeśli chcesz wziąć udział w wyścigu."
guidebook,ˈɡaɪdbʊk,"a book about a city, country, etc.",Can I borrow your guidebook to Barcelona?,przewodnik,Czy mogę wypożyczyć wasz przewodnik po Barcelonie?
toothbrush,ˈtuːθbrʌʃ,a small brush that you use for cleaning your teeth,Buy a new toothbrush every three months.,szczoteczka do zębów,Kupuj nową szczoteczkę do zębów co trzy miesiące.
clear up,ˌklɪər ˈʌp,to make a place look tidier by putting things back where they belong,"Adam, clear up this mess before your father sees it.",Wyczyść,"Adamie, posprzątaj ten bałagan, zanim twój ojciec go zobaczy."
take out,ˌteɪk ˈaʊt,"to remove (things that people throw away, such as old food, dirty paper, etc.) from the house to a bin outside",We take the rubbish out every night before locking up the restaurant.,Na wynos,Co wieczór wynosimy śmieci przed zamknięciem restauracji.
call back,ˌkɔːl ˈbæk,"to telephone someone again, for example because they were not at home when you telephoned last time, or because they have previously called you",Can you ask John to call me back when he gets in?,oddzwanianie,"Czy możesz poprosić Johna, żeby do mnie oddzwonił, kiedy wejdzie?"
shut down,ˌʃʌt ˈdaʊn,"if a large machine, etc. is shut down, it stops operating, either permanently or for a short time",The way to shut the machine down is to type EXIT.,Zamknięcie systemu,Sposobem na wyłączenie komputera jest wpisanie EXIT.
join in,ˌdʒɔɪn ˈɪn,to take part in something that a group of people are doing or that someone else does,"In the evening there was a barbecue, with the whole village joining in the fun.",Przyłącz się,"Wieczorem odbyło się grillowanie, a cała wioska przyłączyła się do zabawy."
put away,ˌpʊt əˈweɪ,to put (something) in the place where it is usually kept,He put his toys away every night.,chować,Każdego wieczoru odkładał swoje zabawki na miejsce.
throw away,ˌθrəʊ əˈweɪ,to get rid of (something that you do not want or need),I shouldn’t have thrown away the receipt.,wyrzucić,Nie powinnam była wyrzucać paragonu.
